,Hospital,State,City,LocalAddress,Pincode
0,A A Hospital,Tamilnadu,Hosur,Denkani Kottai Road Mathigiri,635110
1,A C Hospital,Tamilnadu,Chennai,"No-8, 3Rd Main Road, United India Nagar, Ayanavaram, Chennai-600023",600023
2,A-Care Orthopaedic & General Hospital,Maharashtra,Mumbai,"G-1, Giriraj Tower, Sai Baba Nagar, Mira Bhayander Road, Mira Road.",401107
3,A-One Hospital Pvt Ltd,Delhi,Delhi,"A-1/7, Panchim Vihar, Rohtak Road, New Delhi-110063",110063
4,A.B.Eye Institute,Bihar,Patna,"Road No.12, Rajendra Nagar, Patna, Bihar-800016",800016
5,A.C. Hospital,Tamilnadu,Salem,"201,2Nd Agraharam",636001
6,A.G. Eye Care Hospitals (U Nit Of Dr. A.G. Eye Hospitals Private Limited,Tamilnadu,Chennai,"No. 106, R.K. Mutt Road. Mylapore, Chennai, Tamilnadu",600004
7,A.G. Hospital,Tamilnadu,Coimbatore,"34, Kpn Colony 3Rd Street, Tirupur",641601
8,A.G. Padmavati'S Hospital Ltd.,Tamilnadu,Pondicherry,"R.S. No.127/A, Villianur Main Road, Arumparthapuram, Puducherry",605110
9,A.J. Hospital,Kerala,Trivandrum,"Kazhakuttam, P.O., Thiruvananthapuram, Trivandrum-695582",695582
10,A.J. Hospital & Research Centre,Karnataka,Mangalore,"Kuntikan, Mangalore, Dakshina Kannada-575004, Opp. Ksrtc Depot.Kuntikana",575004
11,A.K.G. Surgical Centre,Uttar Pradesh,Aligarh,"# 225, Avas Vikas Colony,Masoodabad Chouraha Gt Roadmasoodabad Chouraha,G.T.Road,",202001
12,A.M. Hospital,Karnataka,Bangalore,"# 20/1, 2Nd Cross, Widia Layout, Vijayanagar, Bangalore",560040
13,A.M. Hospital,Kerala,Cochin,"N.H. 47, Karunagapally",690518
14,A.N. Beach Hospital,Andhra Pradesh,Vizag,"15-9-13/24, Krishna Nagar,Near Beach Road, Visakhapatnam, Andhra Pradesh",530002
15,A.N.N Hospital,Tamilnadu,Chennai,"81-85,Annai Therasa Street,Valasaravakkam",600087
16,A.P.Hospital,Punjab,Amritsar,"Ajitnagar Chowk,Near Sultan Wind Water Tank",143001
17,A.P.Varkey Mission Hospital,Kerala,Ernakulam,Arakunnam P.O. Thottapady.,682313
18,A.R.Hospital Pvt Ltd,Tamilnadu,Madurai,"609, K.K.Nagar, Madurai-625020",625020
19,A.U.S. Clinic & Lithotripsy Centre,Maharashtra,Mumbai,"Arun Chambers, Tardeo, Mumbai-400034Tardeo",400034
20,A.V. Hospitals,Tamilnadu,Chennai,"# 172, Solaiappan Street, Tondirepet (North Chennai) Near Maharani Theatre",600021
